FechayHora	P2_Hs	P6_Hs
29102.75	0.6	0.64
29103	1.06	1.18
29103.25	1.1	1.15
29103.5	0.69	0.74
29103.75	0.44	0.47
29104	0.61	0.73
29104.25	0.41	0.62
29104.5	0.98	1.16
29104.75	0.41	0.5
29105	0.03	0.04
29105.25	0.38	0.77
29105.5	0.6	0.99
29105.75	0.58	0.83
29106	0.65	0.9
29106.25	0.79	1.07
29106.5	0.91	1.13
29106.75	0.96	1.19
29107	0.95	1.16
29107.25	0.88	1.1
29107.5	1.01	1.37
29107.75	1.21	1.67
29108	1.37	1.92
29108.25	1.16	1.78
29108.5	1.01	1.64
29108.75	1.45	1.95
29109	1.51	2.11
29109.25	1.48	2.12
29109.5	1.4	1.81
29109.75	0.33	0.79
29110	0.68	1.31
29110.25	0.71	1.19
29110.5	0.82	1.39
29110.75	0.75	1.09
29111	0.83	1.2
29111.25	0.96	1.48
29111.5	1.66	2.26
29111.75	1.05	1.53
29112	1.08	1.52
29112.25	0.98	1.01
29112.5	1.47	1.47
29112.75	1.09	1.1
29113	1.05	1.07
29113.25	1.09	1.14
29113.5	1	1.05
29113.75	0.96	1.03
29114	0.91	0.99
29114.25	0.91	1.03
29114.5	1.02	1.15
29114.75	0.92	1.05
29115	0.88	1.18
29115.25	0.84	1.31
29115.5	0.96	1.46
29115.75	1.15	1.67
29116	1.06	1.44
29116.25	1.04	1.34
29116.5	1.18	1.44
29116.75	1.14	1.4
29117	1.07	1.32
29117.25	1.09	1.28
29117.5	0.6	0.85
29117.75	1.22	1.81
29118	1.01	1.34
29118.25	0.88	1.16
29118.5	2.16	2.86
29118.75	1.71	2.29
29119	1.26	1.64
29119.25	0.96	1.21
29119.5	1.44	1.68
29119.75	0.8	0.82
29120	0.85	0.99
29120.25	1.3	1.38
29120.5	1.39	1.54
29120.75	1.72	2.05
29121	1.93	2.36
29121.25	2.19	2.49
29121.5	2.06	2.26
29121.75	2.54	2.75
29122	2.61	2.76
29122.25	2.66	2.78
29122.5	2.82	2.86
29122.75	2.5	2.53
29123	2.28	2.32
29123.25	2.12	2.17
29123.5	1.99	2.03
29123.75	1.87	1.91
29124	1.7	1.76
29124.25	1.61	1.67
29124.5	2.28	2.34
29124.75	2.49	2.61
29125	2.11	2.21
29125.25	1.92	1.99
29125.5	1.63	1.7
29125.75	1.41	1.47
29126	1.29	1.35
29126.25	1.23	1.35
29126.5	1.19	1.27
29126.75	1.14	1.22
29127	0.95	1
29127.25	1.08	1.15
29127.5	1.02	1.17
29127.75	0.57	0.64
29128	0.96	1.02
29128.25	1.08	1.16
29128.5	0.94	1.11
29128.75	0.91	0.99
29129	1.11	1.11
29129.25	0.74	0.72
29129.5	0.7	0.73
29129.75	1.01	1.13
29130	0.93	1.1
29130.25	1.27	1.54
29130.5	1.6	2.27
29130.75	1.13	1.56
29131	1.14	1.61
29131.25	1.25	1.55
29131.5	0.95	1.19
29131.75	0.42	0.48
29132	0.05	0.06
29132.25	0.65	0.67
29132.5	0.7	0.77
29132.75	0.52	0.61
29133	0.54	0.7
29133.25	1.03	1.09
29133.5	1.02	1.01
29133.75	0.22	0.23
29134	0.67	0.96
29134.25	1.54	1.53
29134.5	0.61	0.52
